Zone,Variable,Lag,r,N,N_eff,p_naive,p_eff,Sig_naive,Sig_eff
1,Precipitation,0,-0.159,2431,1533.3,3.169352361728285e-15,3.86183107064692e-10,True,True
1,Precipitation,1,-0.145,2430,1527.6,8.11888718705444e-13,1.390893577755362e-08,True,True
1,Humidity,0,-0.364,2431,1093.1,5.68149647717605e-77,1.5109022900625284e-35,True,True
1,Humidity,1,-0.356,2430,1092.5,1.024083412314746e-73,4.453026999220507e-34,True,True
1,Temperature,0,0.417,2431,653.5,6.311119062375915e-103,6.864886752886608e-29,True,True
1,Temperature,1,0.42,2430,653.4,1.825582238859517e-104,2.612687153353529e-29,True,True
1,Wind,0,0.046,2431,1458.8,0.021953683622376235,0.07602156783320228,True,False
1,Wind,1,0.042,2430,1457.6,0.03982710684388845,0.11150402751190654,True,False
2,Precipitation,0,-0.145,2431,1580.0,6.091210330187011e-13,6.563716138898068e-09,True,True
2,Precipitation,1,-0.139,2430,1575.4,6.686429108108156e-12,3.286678715712943e-08,True,True
2,Humidity,0,-0.364,2431,1068.6,3.013095479582806e-77,6.557153894799087e-35,True,True
2,Humidity,1,-0.33,2430,1067.7,9.349961050997345e-63,1.6425522710224073e-28,True,True
2,Temperature,0,0.442,2431,612.9,1.1001750109316871e-116,1.1404458941074386e-30,True,True
2,Temperature,1,0.441,2430,612.8,6.503225869299952e-116,1.7678091868720143e-30,True,True
2,Wind,0,-0.068,2431,1414.8,0.0007474664575488322,0.010136023065257115,True,True
2,Wind,1,-0.105,2430,1414.0,2.3916428883188416e-07,8.172849709368887e-05,True,True
3,Precipitation,0,-0.113,2431,1746.2,2.069591333344214e-08,2.03039915342593e-06,True,True
3,Precipitation,1,-0.11,2430,1745.3,5.045229313933046e-08,3.881698133139517e-06,True,True
3,Humidity,0,-0.33,2431,1363.7,8.083254478764572e-63,5.4850122864606285e-36,True,True
3,Humidity,1,-0.283,2430,1363.0,4.110404197059565e-46,1.3700106543889884e-26,True,True
3,Temperature,0,0.394,2431,778.0,3.975459694723092e-91,2.6363009434053794e-30,True,True
3,Temperature,1,0.376,2430,777.8,2.2140841983138366e-82,1.6813780286661126e-27,True,True
3,Wind,0,-0.028,2431,1573.5,0.17168523632592256,0.2716200163882974,False,False
3,Wind,1,-0.049,2430,1572.9,0.016665390425894273,0.05416105171194074,True,False
4,Precipitation,0,-0.122,2431,1832.5,1.5909788282136218e-09,1.6166550356073246e-07,True,True
4,Precipitation,1,-0.12,2430,1831.6,2.9696694938552053e-09,2.600765943601759e-07,True,True
4,Humidity,0,-0.34,2431,1499.3,1.0177129753014223e-66,8.284179393964281e-42,True,True
4,Humidity,1,-0.289,2430,1498.2,4.4516087230955614e-48,2.777591471778582e-30,True,True
4,Temperature,0,0.416,2431,1032.8,1.7868363462259305e-102,1.564084974084296e-44,True,True
4,Temperature,1,0.387,2430,1032.5,1.1483744594345168e-87,3.1059273161253e-38,True,True
4,Wind,0,-0.065,2431,1724.6,0.0013472735782599184,0.006944512522093932,True,True
4,Wind,1,-0.056,2430,1724.4,0.005456722575017421,0.01926566171139819,True,True
5,Precipitation,0,-0.106,2431,1832.2,1.506226991625142e-07,5.149968263586747e-06,True,True
5,Precipitation,1,-0.098,2430,1830.1,1.2244322075606299e-06,2.556782523955428e-05,True,True
5,Humidity,0,-0.327,2431,1493.2,8.487362230403603e-62,1.2851524868455074e-38,True,True
5,Humidity,1,-0.328,2430,1492.6,3.2881700005510675e-62,7.130874828225167e-39,True,True
5,Temperature,0,0.41,2431,1196.6,3.1990839257555326e-99,9.969269028053688e-50,True,True
5,Temperature,1,0.414,2430,1196.2,4.479554749024708e-101,1.2019356614630089e-50,True,True
5,Wind,0,0.0,2431,1881.6,0.9977804270726307,0.998047557955309,False,False
5,Wind,1,-0.036,2430,1880.9,0.0751179998432281,0.11745237802827571,False,False
6,Precipitation,0,-0.106,2431,1585.9,1.439842874420409e-07,2.1625664343481777e-05,True,True
6,Precipitation,1,-0.102,2430,1585.1,4.85090264942009e-07,4.841417807660529e-05,True,True
6,Humidity,0,-0.361,2431,1196.2,8.593145436928587e-76,3.6336138807572343e-38,True,True
6,Humidity,1,-0.349,2430,1195.8,1.2338495717846684e-70,1.2623995337429738e-35,True,True
6,Temperature,0,0.433,2431,876.3,1.7370574039876247e-111,2.7424484381333496e-41,True,True
6,Temperature,1,0.44,2430,876.1,1.9796003119743845e-115,1.0208368608023697e-42,True,True
6,Wind,0,0.019,2431,1717.7,0.34352871410027114,0.42600535029070047,False,False
6,Wind,1,-0.004,2430,1717.0,0.8306291651958438,0.8573402911832285,False,False
7,Precipitation,0,-0.119,2431,1476.6,3.935159529084253e-09,4.507720177614917e-06,True,True
