Zone,Variable,Same_Day_Corr,Same_Day_p,Same_Day_Sig,Lag_1_Corr,Lag_1_p,Lag_1_Sig,N
1,Precipitation,-0.159,3.561420348800487e-15,True,-0.145,8.118887187054353e-13,True,2430
1,Humidity,-0.364,6.7906163095578214e-77,True,-0.356,1.0240834123146269e-73,True,2430
1,Temperature,0.417,6.057498374944109e-103,True,0.42,1.8255822388585232e-104,True,2430
1,Wind,0.046,0.022039831254615942,True,0.042,0.03982710684388809,True,2430
2,Precipitation,-0.145,6.532814777132903e-13,True,-0.139,6.6864291081078306e-12,True,2430
2,Humidity,-0.364,3.388570304095183e-77,True,-0.33,9.349961050997914e-63,True,2430
2,Temperature,0.442,9.276466339878846e-117,True,0.441,6.503225869301122e-116,True,2430
2,Wind,-0.068,0.0007696618810356398,True,-0.105,2.3916428883188204e-07,True,2430
3,Precipitation,-0.113,2.2162066575626867e-08,True,-0.11,5.045229313933055e-08,True,2430
3,Humidity,-0.33,9.084807908703484e-63,True,-0.283,4.110404197060074e-46,True,2430
3,Temperature,0.394,3.375675269270101e-91,True,0.376,2.2140841983137225e-82,True,2430
3,Wind,-0.027,0.1787601872040125,False,-0.049,0.016665390425894166,True,2430
4,Precipitation,-0.122,1.6902257006218979e-09,True,-0.12,2.9696694938551804e-09,True,2430
4,Humidity,-0.34,1.1620619878167275e-66,True,-0.289,4.4516087230948254e-48,True,2430
4,Temperature,0.416,1.5734379314844017e-102,True,0.387,1.1483744594343627e-87,True,2430
4,Wind,-0.065,0.001424372190680683,True,-0.056,0.005456722575017412,True,2430
5,Precipitation,-0.106,1.616975748743315e-07,True,-0.098,1.224432207560688e-06,True,2430
5,Humidity,-0.327,9.596636427142426e-62,True,-0.328,3.2881700005515226e-62,True,2430
5,Temperature,0.41,3.0750895644873836e-99,True,0.414,4.4795547490269246e-101,True,2430
5,Wind,0.0,0.9923231031386828,False,-0.036,0.07511799984322774,False,2430
6,Precipitation,-0.106,1.5336600134224313e-07,True,-0.102,4.850902649419936e-07,True,2430
6,Humidity,-0.361,1.0212471235878541e-75,True,-0.349,1.2338495717843762e-70,True,2430
6,Temperature,0.433,1.798060182161362e-111,True,0.44,1.979600311972278e-115,True,2430
6,Wind,0.019,0.3410255886847145,False,-0.004,0.8306291651958474,False,2430
7,Precipitation,-0.119,4.3689988052819715e-09,True,-0.115,1.3751969988071627e-08,True,2430
7,Humidity,-0.355,2.9162445724720824e-73,True,-0.349,2.105253074037788e-70,True,2430
7,Temperature,0.451,3.0973375540011315e-122,True,0.449,7.1651391433739345e-121,True,2430
7,Wind,0.001,0.9606384254507564,False,-0.037,0.06826698771170861,False,2430
8,Precipitation,-0.121,2.275109184162824e-09,True,-0.108,8.832130700967956e-08,True,2430
8,Humidity,-0.292,5.668416146487456e-49,True,-0.301,5.789335206486618e-52,True,2430
8,Temperature,0.386,3.1326223345096932e-87,True,0.391,8.458445570148885e-90,True,2430
8,Wind,-0.041,0.043767345408187185,True,-0.075,0.00022566284890091515,True,2430
